,original_sentences,adversarial_sentences
378,Burger King - Wanna play footy at a top stadium? Get 2 Burger King before 1st Sept and go Large or Super with Coca-Cola and walk out a winner,Burger King - Wanna play footy at a top level? Get 2 Burger King before 1st Sept and try it out at the top level and walk out a winner
379,How come it takes so little time for a child who is afraid of the dark to become a teenager who wants to stay out all night?,How come it takes so little time for a person who is in the middle of the night to fall asleep and who wants to stay out all night?
380,"For ur chance to win a £250 cash every wk TXT: ACTION to 80608. T's&C's www.movietrivia.tv custcare 08712405022, 1x150p/wk.","Give ur chance to win a £250 gift card for every wk you send to: custcare 08712405022, 1x150p/wk."
381,U’ve Bin Awarded £50 to Play 4 Instant Cash. Call 08715203028 To Claim. EVERY 9th Player Wins Min £50-£500. OptOut 08718727870,The Bin Awarded £50 to Play. EVERY 9th Player Wins £50-£500. 08715203028 To Claim. EVERY9th Player wins £50-$500. 1 08718727870
382,FreeMsg>FAV XMAS TONES!Reply REAL,NOT REAL
383,December only! Had your mobile 11mths+? You are entitled to update to the latest colour camera mobile for Free! Call The Mobile Update Co FREE on 08002986906,December only! Want to update your mobile 11mths+? You are entitled to update to the latest version of your mobile for Free! You can also update your Mobile App for FREE on 08002986906
384,"Gr8 Poly tones 4 ALL mobs direct 2u rply with POLY TITLE to 8007 eg POLY BREATHE1 Titles: CRAZYIN, SLEEPINGWITH, FINEST, YMCA :getzed.co.uk POBox365O4W45WQ 300p","1 2u rply with POLY TITLE2 eg POLY BATHE2 eg POBox 8007 egPOLY BREATHE1 Titles: CRAZYIN, SLEEPINGWITH, FINEST, YMCA, POBOX365O4W45WQ 300p"
385,INTERFLORA - It's not too late to order Interflora flowers for christmas call 0800 505060 to place your order before Midnight tomorrow.,UPDATE - It's not too late to order. You can call 0800 505060 to place your order before tomorrow.
386,ROMCAPspam Everyone around should be responding well to your presence since you are so warm and outgoing. You are bringing in a real breath of sunshine.,You should be responding well to your presence since you are so warm and welcoming. You are bringing a real breath of fresh air.
387,"Congratulations - Thanks to a good friend U have WON the £2,000 Xmas prize. 2 claim is easy, just call 08712103738 NOW! Only 10p per minute. BT-national-rate","UPDATE - Thanks to a good friend we have WON the £2,000 Xmas gift card. Getting it is easy, just call 08712103738 NOW! Only 10p per person."
388,Send a logo 2 ur lover - 2 names joined by a heart. Txt LOVE NAME1 NAME2 MOBNO eg LOVE ADAM EVE 07123456789 to 87077 Yahoo! POBox36504W45WQ TxtNO 4 no ads 150p.,Send a Txt LOVE NAME 2 MOBNO eg LOVE ADAM EVE - 2 names joined by a name.Txt TXT LOVE NAME1 NAME2 MOB NO LOVE ADAMS EVE 07123456789 to 870776789 POBox36504W45WQ TxtNO eg Love ADAM no love ADAM 150p.
389,"You've won tkts to the EURO2004 CUP FINAL or £800 CASH, to collect CALL 09058099801 b4190604, POBOX 7876150ppm","To donate tkts, £1,000 CUP, or £800 CASH, to collect CALL 09058099801 b4190604, POBOX:"
390,"Free-message: Jamster!Get the crazy frog sound now! For poly text MAD1, for real text MAD2 to 88888. 6 crazy sounds for just 3 GBP/week! 16+only! T&C's apply","Free-message: Get the crazy sound now! For free, text MAD1, for free text MAD2 to get 6 crazy sounds for just 3 GBP/week! Terms and conditions apply"
391,"YOUR CHANCE TO BE ON A REALITY FANTASY SHOW call now = 08707509020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870 is a national = rate call","YOUR CHANCE TO BE ON A CALL IN THE NEXT MONTH: call now = 08707509020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870 is now available to call"
392,Adult 18 Content Your video will be with you shortly,UPDATE 18: Results will be announced shortly
393,"YOUR CHANCE TO BE ON A REALITY FANTASY SHOW call now = 08707509020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870 is a national = rate call.","YOUR CHANCE TO BE ON THE CALL FOR REALITY: £20 per min call now = 08707509020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870 is now available for the call."
394,"Hey Boys. Want hot XXX pics sent direct 2 ur phone? Txt PORN to 69855, 24Hrs free and then just 50p per day. To stop text STOPBCM SF WC1N3XX","Hey guys. Want hotmail sent direct 2 ur phone? Txt your phone to 69855, 24Hrs free and then just 50p per SMS. To do so, STOPBCM SF WC1N3XX"
395,"Last Chance! Claim ur £150 worth of discount vouchers today! Text SHOP to 85023 now! SavaMob, offers mobile! T Cs SavaMob POBOX84, M263UZ. £3.00 Sub. 16","Last Chance! Claim ur £150 worth of tickets to the game today! Text SHOP to 85023 now! The game will be played on T-Mobile from SavaMob POBOX84, M263UZ. £3.00 until April 16"
396,"pdate_Now - Double mins and 1000 txts on Orange tariffs. Latest Motorola, SonyEricsson & Nokia & Bluetooth FREE! Call MobileUpd8 on 08000839402 or call2optout/!YHL","MobileUpd8 - Double mins and 1000 txts with Samsung, LG, Motorola, SonyEricsson & Nokia & more for FREE! Call Mobile Upd8 on 08000839402 or click here"
397,Ur cash-balance is currently 500 pounds - to maximize ur cash-in now send CASH to 86688 only 150p/msg. CC: 08718720201 PO BOX 114/14 TCR/W1,"Urgent: There is currently 500,000 - to donate ur money, send CASH to us only. CC: 08718720201 PO BOX 114/14 TCR/W1"
398,URGENT! Your Mobile number has been awarded with a £2000 prize GUARANTEED. Call 09058094454 from land line. Claim 3030. Valid 12hrs only,URGENT! The Mobile World Congress has been awarded with a £2000 prize. Call 09058094454 from land line. Call for details. 12hrs only
399,Sorry! U can not unsubscribe yet. THE MOB offer package has a min term of 54 weeks> pls resubmit request after expiry. Reply THEMOB HELP 4 more info,Sorry! U can not unsubscribe from THE MOB. This package has a min term of 54 days. Please pls resubmit request after 30 days. THEMOB.com for more info
400,You have 1 new message. Please call 08712400200.,I have no idea.
401,We currently have a message awaiting your collection. To collect your message just call 08718723815.,"We currently have a problem. To fix your problem, just call 08718723815."
402,"URGENT! Your mobile was awarded a £1,500 Bonus Caller Prize on 27/6/03. Our final attempt 2 contact U! Call 08714714011","URGENT! Our first attempt was awarded a £1,500 prize. Call us on 08714714011 Our final attempt 2 U! Call 08714814011"
403,U have a secret admirer. REVEAL who thinks U R So special. Call 09065174042. To opt out Reply REVEAL STOP. 1.50 per msg recd. Cust care 07821230901,U have a secret admirer. REVEALER thinks U R So. Call him. To opt out. REVALER: 1.50 per msg recd. 07821230901
404,"Do you ever notice that when you're driving, anyone going slower than you is an idiot and everyone driving faster than you is a maniac?","Do you ever notice that when you're driving, going faster than you is an accident? Or that driving faster than yourself is a tragedy?"
405,"Xmas Offer! Latest Motorola, SonyEricsson & Nokia & FREE Bluetooth or DVD! Double Mins & 1000 Txt on Orange. Call MobileUpd8 on 08000839402 or call2optout/4QF2","Xmas Gift Card for Motorola, Samsung & Nokia & FREE Bluetooth or Double Mins & 1000 Txt on Android. Call us on 08000839402 or click here."
406,Reply to win £100 weekly! What professional sport does Tiger Woods play? Send STOP to 87239 to end service,Want to donate £100 weekly! What professional sport does your team play? Send STOP to donate to our service
407,No 1 POLYPHONIC tone 4 ur mob every week! Just txt PT2 to 87575. 1st Tone FREE ! so get txtin now and tell ur friends. 150p/tone. 16 reply HL 4info,1st Tone 1 POLYPHONIC tone 4 ur txt every week! Just txt PT2 to 87575. 1st Tone FREE! so get txtin now and tell ur friends at 150p/tone. 2nd Tone FREE!
408,"HOT LIVE FANTASIES call now 08707509020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870 is a national rate call","For more information, please call 08707509020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870 is not available for call"
409,This message is free. Welcome to the new & improved Sex & Dogging club! To unsubscribe from this service reply STOP. msgs@150p 18+only,"This message is outdated. Welcome to the new & improved email & RSS feed. To unsubscribe from this service, please STOP."
410,"You've won tkts to the EURO2004 CUP FINAL or £800 CASH, to collect CALL 09058099801 b4190604, POBOX 7876150ppm","To donate tkts, £1,000 CUP, or £800 CASH, to collect CALL 09058099801 b4190604, POBOX:"
411,"Loan for any purpose £500 - £75,000. Homeowners + Tenants welcome. Have you been previously refused? We can still help. Call Free 0800 1956669 or text back 'help'","We are looking for any home worth £500 - £75,000. Homeowners + Homeowners Have you been previously contacted? We can still help. Call Free 0800 1956669 or call us back 'help'"
412,Update_Now - 12Mths Half Price Orange line rental: 400mins...Call MobileUpd8 on 08000839402 or call2optout=J5Q,TEXT - Fitch: Price correct on line(s) Call us on 08000839402 or call2optout=J5Q
413,FREE UNLIMITED HARDCORE PORN direct 2 your mobile Txt PORN to 69200 & get FREE access for 24 hrs then chrgd@50p per day txt Stop 2exit. This msg is free,FREE UNLIMITED TESTING. If you are 2 your mobile Txt will be sent to 69200 & get FREE access for 24 hrs then chrgd@50p per day txt.com. This service is free
414,EASTENDERS TV Quiz. What FLOWER does DOT compare herself to? D= VIOLET E= TULIP F= LILY txt D E or F to 84025 NOW 4 chance 2 WIN £100 Cash WKENT/150P16+,"What do you think? What does DOT compare you to? D= VIOLET E= TULIP F= LILY txt D E or F to 84025 NOW 4 chance 2 WIN £100,000"
415,You are now unsubscribed all services. Get tons of sexy babes or hunks straight to your phone! go to http://gotbabes.co.uk. No subscriptions.,You are the best of all worlds. Get tons of great deals or hunks straight to your phone! go to http://gotbabes.co.uk.au/
416,"Hi babe its Jordan, how r u? Im home from abroad and lonely, text me back if u wanna chat xxSP visionsms.com Text stop to stopCost 150p 08712400603","Hi babe its me, how r u? Im home from abroad and lonely, text me back if u wanna talk to me. Text me to 150p 08712400603"
417,Get a brand new mobile phone by being an agent of The Mob! Plus loads more goodies! For more info just text MAT to 87021.,Get a brand new mobile app by being a member of The App Store Plus loads more! For more info just text MAT to 87021.
418,LORD OF THE RINGS:RETURN OF THE KING in store NOW!REPLY LOTR by 2 June 4 Chance 2 WIN LOTR soundtrack CDs StdTxtRate. Reply STOP to end txts,LORD OF THE RINGS:RETURN OF THE KING in store NOW!REPLY LOTR ON June 2 June 4 Chance 2 WIN LOTR on June 2!How to get your txts
419,Good Luck! Draw takes place 28th Feb 06. Good Luck! For removal send STOP to 87239 customer services 08708034412,Good Morning! This event takes place 28th Feb. Good Luck! For removal send STOP to: 08708034412
420,Free entry in 2 a weekly comp for a chance to win an ipod. Txt POD to 80182 to get entry (std txt rate) T&C's apply 08452810073 for details 18+,Free entry in a Txt comp for a chance to win an iPad. Text Txt POD to 80182 to get entry (maximum txt rate) T&C's code is 08452810073 for entry.
421,1st wk FREE! Gr8 tones str8 2 u each wk. Txt NOKIA ON to 8007 for Classic Nokia tones or HIT ON to 8007 for Polys. Nokia/150p Poly/200p 16+,1st wk FREE! Gr8 3 u str8 2 u each wk. Txt NOKIA ON to 8007 for free! Txt NAKIA or Txt Txt SONON ON to8007 for FREE! Poly/200p 16+
422,"LookAtMe!: Thanks for your purchase of a video clip from LookAtMe!, you've been charged 35p. Think you can do better? Why not send a video in a MMSto 32323.","LookAtMe!: Thanks for your support of a video clip from LookAtMe!, you've been so helpful. Think you can do better? Why not send a video to us?"
423,sexy sexy cum and text me im wet and warm and ready for some porn! u up for some fun? THIS MSG IS FREE RECD MSGS 150P INC VAT 2 CANCEL TEXT STOP,Are u sexy or not and text me im wet and warm and ready for some sex. Are u up for some fun? THIS MSG SPREADS MSGS 150P INC VAT ON CANCEL TEXT STOP
424,Hard LIVE 121 chat just 60p/min. Choose your girl and connect LIVE. Call 09094646899 now! Cheap Chat UK's biggest live service. VU BCM1896WC1N3XX,Join us LIVE for a live chat just 60p/min. Choose your girl and join in the fun! Call 09094646899 now! Join us for the UK's biggest live chat! VU BCM1896WC1N3XX
425,Not heard from U4 a while. Call 4 rude chat private line 01223585334 to cum. Wan 2C pics of me gettin shagged then text PIX to 8552. 2End send STOP 8552 SAM xxx,Not heard from U4 a.m. Call me on rude chat private line 01223585334. Please cum. Wan some pics of me being shagged then text me to 8552. Please send STOP 8552 xxx
426,This is the 2nd time we have tried to contact u. U have won the £1450 prize to claim just call 09053750005 b4 310303. T&Cs/stop SMS 08718725756. 140ppm,This is the 2nd time I have tried to contact you. If you have won the £1450 and would like to claim just call 09053750005 b4 310303. Or text 08718725756.
427,"HOT LIVE FANTASIES call now 08707509020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870..k","Croydon, 08707509020 Just 20p per min. Ltd, PO Box 1327 Croydon CR9 5WB"
428,"Dear Voucher Holder, To claim this weeks offer, at you PC please go to http://www.e-tlp.co.uk/reward. Ts&Cs apply.","Dear Editor, To receive this letter on your PC please go to http://www.e-tlp.co.uk/reward. Ts&Cs apply."
429,UR GOING 2 BAHAMAS! CallFREEFONE 08081560665 and speak to a live operator to claim either Bahamas cruise of£2000 CASH 18+only. To opt out txt X to 07786200117,"FIVE DAYS OF BAHAMAS! CallFREEFONE 08081560665 and speak to a live operator to book either a cruise or a cruise of£2000 CASH. To book, text out txt X to 07786200117"
430,"This is the 2nd time we have tried 2 contact u. U have won the 750 Pound prize. 2 claim is easy, call 08712101358 NOW! Only 10p per min. BT-national-rate","This is the 2nd time I have tried 2 u. U have won the 750 Pound prize. If u think this is easy, call 08712101358 NOW! Only 10p per person."
431,UR awarded a City Break and could WIN a £200 Summer Shopping spree every WK. Txt STORE to 88039.SkilGme.TsCs087147403231Winawk!Age16+£1.50perWKsub,URGENT: Manchester City fans and could WIN a £200 Shopping spree in WK. Txt to watch
432,URGENT! We are trying to contact U. Todays draw shows that you have won a £2000 prize GUARANTEED. Call 09066358361 from land line. Claim Y87. Valid 12hrs only,URGENT! We are trying to get you to U. Todays Bank so that you have won a £2000 cheque. Call 09066358361 from land line. Valid 12hrs only
433,"Thanks for your ringtone order, reference number X29. Your mobile will be charged 4.50. Should your tone not arrive please call customer services 09065989180",Thanks for your help. Please use the reference number. Your voice will be recorded. Should your tone not arrive please call customer services 09065989180
434,"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info","SIX chances to win. From 100 to 20,000 pounds. Order CSH11 and send to your home. Cost 150p/day, 6days, 16+ to apply. HLN info"
435,Ur cash-balance is currently 500 pounds - to maximize ur cash-in now send COLLECT to 83600 only 150p/msg. CC: 08718720201 PO BOX 114/14 TCR/W1,"Ur cash-balance is currently 500,000 - to be used as a cash-in-hand COLLECT to pay only. CC: 08718720201 PO BOX 114/14 TCR/W1"
436,"Congratulations! Thanks to a good friend U have WON the £2,000 Xmas prize. 2 claim is easy, just call 08718726978 NOW! Only 10p per minute. BT-national-rate","Congratulations! Thanks to a good friend, you have won the £2,000 Xmas gift card. Getting started is easy, just call 08718726978 NOW! Only 10p per person."
437,"44 7732584351, Do you want a New Nokia 3510i colour phone DeliveredTomorrow? With 300 free minutes to any mobile + 100 free texts + Free Camcorder reply or call 08000930705.",44. Do you want a New Year's resolution 3510i mobile phone? With 300 free minutes to any mobile + 100 free texts + Free video calls or call 08000930705.
438,You have 1 new voicemail. Please call 08719181513.,I have no idea.
439,"Someone U know has asked our dating service 2 contact you! Cant Guess who? CALL 09058097189 NOW all will be revealed. POBox 6, LS15HB 150p",Someone you know has contacted our customer service 2 contact you! Guess who? CALL 09058097189 NOW all will be set up! LS15HB
440,Camera - You are awarded a SiPix Digital Camera! call 09061221066 fromm landline. Delivery within 28 days,For more information - if you are a SiPix Digital subscriber call 09061221066 fromm within 28 days
441,Todays Voda numbers ending 5226 are selected to receive a ?350 award. If you hava a match please call 08712300220 quoting claim code 1131 standard rates app,Todays Voda numbers above 5226 are selected to receive a refund. If you hava a problem please call 08712300220 with claim code 1131.Download the app
442,This message is free. Welcome to the new & improved Sex & Dogging club! To unsubscribe from this service reply STOP. msgs@150p 18 only,"This message is outdated. Welcome to the new & improved email & RSS feed. To unsubscribe from this service, please STOP. Email only"
443,RCT' THNQ Adrian for U text. Rgds Vatian,Vladimir Vatian
444,"FREE MESSAGE Activate your 500 FREE Text Messages by replying to this message with the word FREE For terms & conditions, visit www.07781482378.com","FREE MESSAGE Get your FREE Messages by replying to this message with the following email address: For complete terms & conditions, visit:"
445,"You are being contacted by our dating service by someone you know! To find out who it is, call from a land line 09050000928. PoBox45W2TG150P","You are being followed by a phone call by someone you know! To find out who it is, call from a land line."
446,Sorry I missed your call let's talk when you have the time. I'm on 07090201529,"Sorry I missed you, but let's talk when you have the time. I'm sorry"
447,"complimentary 4 STAR Ibiza Holiday or £10,000 cash needs your URGENT collection. 09066364349 NOW from Landline not to lose out! Box434SK38WP150PPM18+","complimentary 4 STAR Ibiza Holiday Gift Guide £10,000.00. URGENT: 09066364349 NOW from the best way not to lose out!"
448,FREE MSG:We billed your mobile number by mistake from shortcode 83332.Please call 08081263000 to have charges refunded.This call will be free from a BT landline,Note:We may change your mobile number by mistake from shortcode 83332.Please call 08081263000 to have your number changed.You will be free to use your BT landline
449,Please CALL 08712402972 immediately as there is an urgent message waiting for you,There is as much as there is waiting for you
450,URGENT! Your Mobile number has been awarded with a £2000 Bonus Caller Prize. Call 09058095201 from land line. Valid 12hrs only,The company has been awarded with a £2000 cash prize. Call 09058095201 from land line. Valid 12hrs only
451,"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a £1500 Bonus Prize, call 09066364589","As a valued employee, I am pleased to advise you that following recent changes to the bonus system, you are awarded with a £1500 Bonus. For more information call 09066364589"
452,Do you want a New Nokia 3510i colour phone DeliveredTomorrow? With 300 free minutes to any mobile + 100 free texts + Free Camcorder reply or call 08000930705,Do you want a New Year's resolution 3510i? With 300 free minutes to any mobile + 100 free texts + Free video calls or call 08000930705
453,LIFE has never been this much fun and great until you came in. You made it truly special for me. I won't forget you! enjoy @ one gbp/sms,LIFE has never been this much fun and great until you came along. You made it truly special for me and I won't forget you!—
454,Do you want a new Video phone? 600 anytime any network mins 400 Inclusive Video calls AND downloads 5 per week Free delTOMORROW call 08002888812 or reply NOW,Do you want a new Video Call? You can call any number of our All Inclusive Video calls AND get 5 per week Free delTOMORROW call 08002888812 or reply NOW
455,"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a £1500 Bonus Prize, call 09066368470","As a valued employee, I am pleased to advise you that following recent changes to the bonus system, you are awarded with a £1500 Bonus. For more information call 09066368470"
456,Welcome! Please reply with your AGE and GENDER to begin. e.g 24M,Welcome! Share with your friends and family to learn more!
457,Freemsg: 1-month unlimited free calls! Activate SmartCall Txt: CALL to No: 68866. Subscriptn3gbp/wk unlimited calls Help: 08448714184 Stop?txt stop landlineonly,Get 1-month unlimited free calls! From SmartCall Txt: CALL to No: 1 month unlimited calls. 08448714184. Mobile landlineonly
458,Had your mobile 10 mths? Update to latest Orange camera/video phones for FREE. Save £s with Free texts/weekend calls. Text YES for a callback orno to opt out,Upgrade your mobile phone to Orange. Update to latest Orange phones for free. Save £s with Free calls. Text Orange for a callback orno to opt out
459,Am new 2 club & dont fink we met yet Will B gr8 2 C U Please leave msg 2day wiv ur area 09099726553 reply promised CARLIE x Calls£1/minMobsmore LKPOBOX177HP51FL,Am new 2years old & dont fink we met yet. A B gr8 2 C U Please leave msg 2day wiv ur contact info 09099726553@gmail.com CARLIE M. LKPOBOX177HP51FL
460,Camera - You are awarded a SiPix Digital Camera! call 09061221066 fromm landline. Delivery within 28 days.,"For more information - if you are interested in SiPix, call 09061221066 fromm landline.com within 28 days."
461,Get a FREE mobile video player FREE movie. To collect text GO to 89105. Its free! Extra films can be ordered t's and c's apply. 18 yrs only,"Get a FREE mobile video! Get a FREE app! To download, GO to YouTube. Its free! Extra films can be downloaded. T's, t's and c's apply. 2 yrs only"
462,Save money on wedding lingerie at www.bridal.petticoatdreams.co.uk Choose from a superb selection with national delivery. Brought to you by WeddingFriend,Save money on groceries at Whole Foods Choose from a superb selection with great prices. Brought to you by
463,Not heard from U4 a while. Call me now am here all night with just my knickers on. Make me beg for it like U did last time 01223585236 XX Luv Nikiyu4.net,Not heard from me in a while Call me now am here all night with just my knickers. Make me wait for you like U did last time 01223585236 XXI
464,Bloomberg -Message center +447797706009 Why wait? Apply for your future http://careers. bloomberg.com,Parking center +447797706009 Why wait? Get your license
465,URGENT! We are trying to contact U. Todays draw shows that you have won a £800 prize GUARANTEED. Call 09050001808 from land line. Claim M95. Valid12hrs only,URGENT! We are trying to get you to U. Todays Bank so that you have won a £800 cheque. Call 09050001808 from land line. The M95. Call only
466,Do you want a NEW video phone750 anytime any network mins 150 text for only five pounds per week call 08000776320 now or reply for delivery tomorrow,Do you want a new car? If you have any car you can get for 150p for only five pounds per week call 08000776320 now or reply for delivery tomorrow
467,"You are being contacted by our dating service by someone you know! To find out who it is, call from a land line 09050000878. PoBox45W2TG150P","You are being followed by a phone call by someone you know! To find out who it is, call from a land line."
468,"Wan2 win a Meet+Greet with Westlife 4 U or a m8? They are currently on what tour? 1)Unbreakable, 2)Untamed, 3)Unkempt. Text 1,2 or 3 to 83049. Cost 50p +std text","2. Have a Meet+Greet with the band. They are currently on tour? 1)Unbreakable, 3)Unkempt. Text 1,2 or 3 to 83049. Cost 50p +std text"
469,Dorothy@kiefer.com (Bank of Granite issues Strong-Buy) EXPLOSIVE PICK FOR OUR MEMBERS *****UP OVER 300% *********** Nasdaq Symbol CDGT That is a $5.00 per..,$5.00 (Bank of America Merrill Lynch Strong-Buy) EXPLOSIVE PICK FOR OUR MEMBERS *****UP OVER 300% *********** ********** That is $5.50 per person. That is a premium of $5..
470,"You are a £1000 winner or Guaranteed Caller Prize, this is our Final attempt to contact you! To Claim Call 09071517866 Now! 150ppmPOBox10183BhamB64XE",You are a £1000 winner. Caller ID this is your Final attempt to contact you! To enter Call 09071517866 Now!
471,"Xmas & New Years Eve tickets are now on sale from the club, during the day from 10am till 8pm, and on Thurs, Fri & Sat night this week. They're selling fast!","Xmas Eve and New Years Eve gifts are now on sale in the stores during the day from 10am till 8pm, and on sale on Fri & Sat, this week. They're selling fast!"
472,"Rock yr chik. Get 100's of filthy films &XXX pics on yr phone now. rply FILTH to 69669. Saristar Ltd, E14 9YT 08701752560. 450p per 5 days. Stop2 cancel","• Get yr phone number• Get 100's of your favourite films & films on yr phone• Call rply FILTH to 69669. Telstra Ltd, E14 9YT 08701752560. 450p per 5 mins• Stop2 cancel"
473,From next month get upto 50% More Calls 4 Ur standard network charge 2 activate Call 9061100010 C Wire3.net 1st4Terms PoBox84 M26 3UZ Cost £1.50 min MobcudB more,From next month get upto 50% More Calls on Ur standard network. To activate Call 9061100010 CUBE M26 3UZ Cost £1.50 min. Read more
474,URGENT! We are trying to contact U Todays draw shows that you have won a £800 prize GUARANTEED. Call 09050000460 from land line. Claim J89. po box245c2150pm,URGENT! We are trying to get U Todays results which shows that you have won a £800 prize. Call 09050000460 from land line. We will try again.
475,Text BANNEDUK to 89555 to see! cost 150p textoperator g696ga 18+ XXX,Text me to 89555 to confirm. XXX
476,"Auction round 4. The highest bid is now £54. Next maximum bid is £71. To bid, send BIDS e. g. 10 (to bid £10) to 83383. Good luck.","The maximum bid is 4. The highest bid is a maximum of £54. Next minimum bid is £71. To bid, send a message, e. g. £5 (to bid £10) to the seller. Good luck."
477,Collect your VALENTINE'S weekend to PARIS inc Flight & Hotel + £200 Prize guaranteed! Text: PARIS to No: 69101. www.rtf.sphosting.com,PRIZE: VALENTINE'S PARIS inc. Hotel & Hotel + £200 Prize guaranteed! Text: PARIS to No: 1
478,Customer Loyalty Offer:The NEW Nokia6650 Mobile from ONLY £10 at TXTAUCTION! Txt word: START to No: 81151 & get yours Now! 4T&Ctxt TC 150p/MTmsg,Txt Loyalty is a NEW GAME from ONLY £10 at Txt. START to No: 81151 & get yours Now! TC 150p/MTmsg
479,You won't believe it but it's true. It's Incredible Txts! Reply G now to learn truly amazing things that will blow your mind. From O2FWD only 18p/txt,You won't believe it but it's true. Go to G now to learn truly amazing things that will blow your mind.Download O2FWD only 18p/txt
480,Hi 07734396839 IBH Customer Loyalty Offer: The NEW NOKIA6600 Mobile from ONLY £10 at TXTAUCTION!Txt word:START to No:81151 & get Yours Now!4T&,Customer Loyalty 07734396839 IBH Customer Loyalty Offer: The NEW NOKIA6600 is available from ONLY £10. Subscribe to No:81151 & get a free trial.
481,I am hot n horny and willing I live local to you - text a reply to hear strt back from me 150p per msg Netcollex LtdHelpDesk: 02085076972 reply Stop to end,I am very horny n horny and I live local to you - text a reply to hear back from me 150p per msg - 02085076972 reply to me at end
482,Do you want a New Nokia 3510i Colour Phone Delivered Tomorrow? With 200 FREE minutes to any mobile + 100 FREE text + FREE camcorder Reply or Call 08000930705,Do you want a New Nokia 3510i Mobile Phone Delivered To Your Phone With 200 FREE minutes on any mobile + 100 FREE text + FREE voice calls? Register here or Call 08000930705
483,Congratulations YOU'VE Won. You're a Winner in our August £1000 Prize Draw. Call 09066660100 NOW. Prize Code 2309.,Congratulations YOU'VE BEEN a Winner in the £1000 Prize. Call us NOW. Prize Code 2309.
484,8007 25p 4 Alfie Moon's Children in Need song on ur mob. Tell ur m8s. Txt TONE CHARITY to 8007 for nokias or POLY CHARITY for polys :zed 08701417012 profit 2 charity,8007 25p 4 Alfie Moon's Children in Need. Tell ur friends Tell ur family. Txt TONE CHARITY to 8007 for nokias or TACT CHARITY for children in need : 08701417012 profit for charity
485,Get the official ENGLAND poly ringtone or colour flag on yer mobile for tonights game! Text TONE or FLAG to 84199. Optout txt ENG STOP Box39822 W111WX £1.50,Get the official T-Shirt ringtone or colour scheme on yer mobile for tonights. Text TONE or FLAG to 84199. Optout txt to STOP. W111WX £1.50
486,"Customer service announcement. We recently tried to make a delivery to you but were unable to do so, please call 07090298926 to re-schedule. Ref:9307622","Please note: We recently tried to make an appointment to meet, but were unable to do so, please call 07090298926 to re-schedule."
487,"You can stop further club tones by replying ""STOP MIX"" See my-tone.com/enjoy. html for terms. Club tones cost GBP4.50/week. MFL, PO Box 1146 MK45 2WT (2/3)","You can find out more about the club by replying ""STOP MIX"" See html for terms. Club tones cost $5. PO Box 1146 MK45 2WT (2/3)"
488,wamma get laid?want real doggin locations sent direct to your mobile? join the UKs largest dogging network. txt dogs to 69696 now!nyt. ec2a. 3lp £1.50/msg.,wamma get laid?want some doggin’ sent direct to your mobile? join the UKs largest community of txt dogs to get the best of the best. 3lp £1.50/msg.
489,You have won a Nokia 7250i. This is what you get when you win our FREE auction. To take part send Nokia to 86021 now. HG/Suite342/2Lands Row/W1JHL 16+,"You have won a Nokia. This is what you get when you win our FREE trial. To take part, text Nokia to 86021."
490,Promotion Number: 8714714 - UR awarded a City Break and could WIN a £200 Summer Shopping spree every WK. Txt STORE to 88039 . SkilGme. TsCs087147403231Winawk!Age16 £1.50perWKsub,Promotion Number: 8714714 - URGENT! Get in touch with City of London and could WIN a £200 Shopping spree in WK. Txt STORE to 88039. Win £1.50perWKsub
491,You are a winner you have been specially selected to receive £1000 cash or a £2000 award. Speak to a live operator to claim call 087147123779am-7pm. Cost 10p,You are a lucky winner and you have been specially selected to receive £1000 cash or a £2000 voucher to a charity. Click here to register or call 0844 571 10p
492,Free Top ringtone -sub to weekly ringtone-get 1st week free-send SUBPOLY to 81618-?3 per week-stop sms-08718727870,Free-send a message to ringtone-get 1st week free-send message to 81618-?3 per week
493,"Thanks for your ringtone order, reference number X49. Your mobile will be charged 4.50. Should your tone not arrive please call customer services 09065989182. From: [colour=red]text[/colour]TXTstar",Thanks for your ringtone reference number. Your ringtone will be charged. Should your tone not arrive please call customer services.
494,"Hi there, 2nights ur lucky night! Uve been invited 2 XCHAT, the Uks wildest chat! Txt CHAT to 86688 now! 150p/MsgrcvdHG/Suite342/2Lands/Row/W1J6HL LDN 18yrs","Hi there, it’s ur lucky night! Uve been waiting for 2 weeks for the Uks to get the Txt CHAT to 86688 now! 150p/MsgrcvdHG/Suite342/2Lands/Row/W1J6HL LDN."
495,2/2 146tf150p,advertisement
